# Отечка;;;;;;;;
;;;;;;;;
Банька;;4,10%;-;11,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч.,сахар, хмель, дрожжи;banka.jpg
;;;;;;;;
Горный Карачай;;4,00%;-;11,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Gornyj_Karachaj.jpg
;;;;;;;;
Домбай Горный;;4,50%;-;12,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Dombaj_Gornyj.jpg
;;;;;;;;
Жигулевское ЛПЗ;;4,00%;-;11,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Zhigulevskoe_LPZ.jpg
;;;;;;;;
Жигулевское Самарское;;4,50%;-;11,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Zhigulevskoe_Samarskoe.jpg
;;;;;;;;
Венское Экспорт;;5,10%;-;13,10%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Venskoe_Eksport.jpg
;;;;;;;;
Майкопское Светлое;;4,00%;-;11,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Majkopskoe_Svetloe.jpg
;;;;;;;;
Особое Поручение;;5,00%;-;12,00%;светлое нефильтрованное;Лагер НФ;СОСТАВ: вода, солод пив. яч., сахар, хмель, аромат. пищ. нат., дрожжи;Osoboe_Poruchenie.jpg
;;;;;;;;
Пятигорское;;4,00%;-;11,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Pyatigorskoe.jpg
;;;;;;;;
Рижское Барное;;4,50%;-;12,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Rizhskoe_Barnoe.jpg
;;;;;;;;
Макарий Живое Н/Ф;;4,00%;-;11,00%;светлое нефильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Makarij_Zhivoe_NF.jpg
;;;;;;;;
